,Class_Cnam,Area_of_Burn1,Area_of_Burn2,Area_of_Burn3,Area_of_Burn4,Area_of_Burn5,Area_of_Burn6,Total_Area,Proportion_of_burn_1,Proportion_of_burn_2,Proportion_of_burn_3,Proportion_of_burn_4,Proportion_of_burn_5,Proportion_of_burn_6,Total_Burnt_Area,Total_Proportion_Burn
51,Rocky Streambed Mapping Unit,0.0,0.0,8312.822199178536,0.0,0.0,0.0,8312.822199178536,0.0,0.0,1.0,0.0,0.0,0.0,8312.822199178536,1.0
52,Sawtooth Goldenbush Shrubland Alliance,0.0,0.0,5044.180371941565,43231.120706053414,13758.751238697907,0.0,62034.05231669289,0.0,0.0,0.08131308827271654,0.6968933850291165,0.2217935266981669,0.0,48275.30107799498,0.778206473301833
53,Scrub Oak Shrubland Alliance,60164.79240250016,3785.9719212908913,0.0,0.0,0.0,0.0,63950.76432379105,0.940798644686684,0.05920135531331607,0.0,0.0,0.0,0.0,63950.76432379105,1.0
54,Scrub Oak-Birch Leaf Mountain Mahogany Shrubland Alliance,0.0,16449.865472335227,0.0,0.0,0.0,0.0,16449.865472335227,0.0,1.0,0.0,0.0,0.0,0.0,16449.865472335227,1.0
55,Scrub Oak-Chamise Shrubland Alliance,6275.468489162283,0.0,0.0,15423.601034901898,192079.10663461548,0.0,213778.17615867965,0.029355047376324488,0.0,0.0,0.07214768743958938,0.8984972651840862,0.0,21699.06952406418,0.10150273481591386
56,Toyon Shrubland Alliance,230148.6813181655,580415.0603451384,39731.80601783339,0.0,0.0,0.0,850295.5476811373,0.27066904201228603,0.6826039039343474,0.04672705405336652,0.0,0.0,0.0,850295.5476811373,1.0
57,Undifferentiated Exotic Vegetation Mapping Unit,47748.79795892728,189235.51716172675,197772.3305325099,267090.28011411626,75602.19780235516,0.0,777449.1235696353,0.061417263858617586,0.24340566015800147,0.2543862029510612,0.34354695634330246,0.09724391668901734,0.0,701846.9257672802,0.9027560833109827
58,Urban/Disturbed or Built-up Undifferentiated Mapping Unit,170722.3213562821,1339277.6805385633,1291991.44900011,11275238.376529302,4182333.6538507375,0.0,18259563.481274996,0.00934974823091232,0.07334664281060056,0.07075697347995391,0.6174976958289254,0.2290489396496077,0.0,14077229.827424258,0.7709510603503923
59,Valley Oak Woodland/Forest Alliance,0.0,0.0,6168.479728137489,499597.06258591,84334.92777638683,0.0,590100.4700904344,0.0,0.0,0.010453270317158285,0.8466305110879602,0.14291621859488146,0.0,505765.5423140475,0.8570837814051184
60,Water Mapping Unit,0.0,4127.27579763697,0.0,4611.812768893241,28114.53110139364,0.0,36853.61966792385,0.0,0.11199105636913088,0.0,0.12513866508768492,0.7628702785431842,0.0,8739.088566530212,0.23712972145681585
61,White Alder Woodland/Forest Alliance,0.0,27956.627660940605,108783.42294353282,0.0,0.0,0.0,136740.05060447342,0.0,0.2044509091327337,0.7955490908672663,0.0,0.0,0.0,136740.05060447342,1.0
62,Willow Woodland/Forest Superalliance,82099.47781310356,44778.44275379477,34407.73314680259,51158.986740616136,20685.273148862103,0.0,233129.91360317913,0.3521619192672492,0.19207506261943785,0.1475903826111716,0.21944411143949608,0.08872852406264532,0.0,212444.64045431704,0.9112714759373547
